,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
0,0,E0,14/08/93,Arsenal,Coventry,0,3,A,,,,1993-94
1,1,E0,14/08/93,Aston Villa,QPR,4,1,H,,,,1993-94
2,2,E0,14/08/93,Chelsea,Blackburn,1,2,A,,,,1993-94
3,3,E0,14/08/93,Liverpool,Sheffield Weds,2,0,H,,,,1993-94
4,4,E0,14/08/93,Man City,Leeds,1,1,D,,,,1993-94
5,5,E0,14/08/93,Newcastle,Tottenham,0,1,A,,,,1993-94
6,6,E0,14/08/93,Oldham,Ipswich,0,3,A,,,,1993-94
7,7,E0,14/08/93,Sheffield United,Swindon,3,1,H,,,,1993-94
8,8,E0,14/08/93,Southampton,Everton,0,2,A,,,,1993-94
9,9,E0,14/08/93,West Ham,Wimbledon,0,2,A,,,,1993-94
10,10,E0,15/08/93,Norwich,Man United,0,2,A,,,,1993-94
11,11,E0,16/08/93,Tottenham,Arsenal,0,1,A,,,,1993-94
12,12,E0,17/08/93,Everton,Man City,1,0,H,,,,1993-94
13,13,E0,17/08/93,Ipswich,Southampton,1,0,H,,,,1993-94
14,14,E0,17/08/93,Leeds,West Ham,1,0,H,,,,1993-94
15,15,E0,17/08/93,Wimbledon,Chelsea,1,1,D,,,,1993-94
16,16,E0,18/08/93,Blackburn,Norwich,2,3,A,,,,1993-94
17,17,E0,18/08/93,Coventry,Newcastle,2,1,H,,,,1993-94
18,18,E0,18/08/93,Man United,Sheffield United,3,0,H,,,,1993-94
19,19,E0,18/08/93,QPR,Liverpool,1,3,A,,,,1993-94
20,20,E0,18/08/93,Sheffield Weds,Aston Villa,0,0,D,,,,1993-94
21,21,E0,18/08/93,Swindon,Oldham,0,1,A,,,,1993-94
22,22,E0,21/08/93,Blackburn,Oldham,1,0,H,,,,1993-94
23,23,E0,21/08/93,Coventry,West Ham,1,1,D,,,,1993-94
24,24,E0,21/08/93,Everton,Sheffield United,4,2,H,,,,1993-94
25,25,E0,21/08/93,Ipswich,Chelsea,1,0,H,,,,1993-94
26,26,E0,21/08/93,Leeds,Norwich,0,4,A,,,,1993-94
27,27,E0,21/08/93,Man United,Newcastle,1,1,D,,,,1993-94
28,28,E0,21/08/93,QPR,Southampton,2,1,H,,,,1993-94
29,29,E0,21/08/93,Sheffield Weds,Arsenal,0,1,A,,,,1993-94
30,30,E0,21/08/93,Tottenham,Man City,1,0,H,,,,1993-94
31,31,E0,21/08/93,Wimbledon,Aston Villa,2,2,D,,,,1993-94
32,32,E0,22/08/93,Swindon,Liverpool,0,5,A,,,,1993-94
33,33,E0,23/08/93,Aston Villa,Man United,1,2,A,,,,1993-94
34,34,E0,24/08/93,Arsenal,Leeds,2,1,H,,,,1993-94
35,35,E0,24/08/93,Man City,Blackburn,0,2,A,,,,1993-94
36,36,E0,24/08/93,Oldham,Coventry,3,3,D,,,,1993-94
37,37,E0,24/08/93,Sheffield United,Wimbledon,2,1,H,,,,1993-94
38,38,E0,25/08/93,Chelsea,QPR,2,0,H,,,,1993-94
39,39,E0,25/08/93,Liverpool,Tottenham,1,2,A,,,,1993-94
40,40,E0,25/08/93,Newcastle,Everton,1,0,H,,,,1993-94
41,41,E0,25/08/93,Norwich,Ipswich,1,0,H,,,,1993-94
42,42,E0,25/08/93,Southampton,Swindon,5,1,H,,,,1993-94
43,43,E0,25/08/93,West Ham,Sheffield Weds,2,0,H,,,,1993-94
44,44,E0,27/08/93,Man City,Coventry,1,1,D,,,,1993-94
45,45,E0,28/08/93,Arsenal,Everton,2,0,H,,,,1993-94
46,46,E0,28/08/93,Aston Villa,Tottenham,1,0,H,,,,1993-94
47,47,E0,28/08/93,Chelsea,Sheffield Weds,1,1,D,,,,1993-94
48,48,E0,28/08/93,Liverpool,Leeds,2,0,H,,,,1993-94
49,49,E0,28/08/93,Norwich,Swindon,0,0,D,,,,1993-94
50,50,E0,28/08/93,Oldham,Wimbledon,1,1,D,,,,1993-94
51,51,E0,28/08/93,Sheffield United,Ipswich,1,1,D,,,,1993-94
52,52,E0,28/08/93,Southampton,Man United,1,3,A,,,,1993-94
53,53,E0,28/08/93,West Ham,QPR,0,4,A,,,,1993-94
54,54,E0,29/08/93,Newcastle,Blackburn,1,1,D,,,,1993-94
55,55,E0,30/08/93,Leeds,Oldham,1,0,H,,,,1993-94
56,56,E0,31/08/93,Everton,Aston Villa,0,1,A,,,,1993-94
57,57,E0,31/08/93,Ipswich,Newcastle,1,1,D,,,,1993-94
58,58,E0,31/08/93,Wimbledon,Southampton,1,0,H,,,,1993-94
59,59,E0,1/9/1993,Blackburn,Arsenal,1,1,D,,,,1993-94
60,60,E0,1/9/1993,Coventry,Liverpool,1,0,H,,,,1993-94
61,61,E0,1/9/1993,Man United,West Ham,3,0,H,,,,1993-94
62,62,E0,1/9/1993,QPR,Sheffield United,2,1,H,,,,1993-94
63,63,E0,1/9/1993,Sheffield Weds,Norwich,3,3,D,,,,1993-94
64,64,E0,1/9/1993,Swindon,Man City,1,3,A,,,,1993-94
65,65,E0,1/9/1993,Tottenham,Chelsea,1,1,D,,,,1993-94
66,66,E0,11/9/1993,Arsenal,Ipswich,4,0,H,,,,1993-94
67,67,E0,11/9/1993,Aston Villa,Coventry,0,0,D,,,,1993-94
68,68,E0,11/9/1993,Chelsea,Man United,1,0,H,,,,1993-94
69,69,E0,11/9/1993,Man City,QPR,3,0,H,,,,1993-94
70,70,E0,11/9/1993,Norwich,Wimbledon,0,1,A,,,,1993-94
71,71,E0,11/9/1993,Oldham,Everton,0,1,A,,,,1993-94
72,72,E0,11/9/1993,Sheffield United,Tottenham,2,2,D,,,,1993-94
73,73,E0,11/9/1993,Southampton,Leeds,0,2,A,,,,1993-94
74,74,E0,11/9/1993,West Ham,Swindon,0,0,D,,,,1993-94
75,75,E0,12/9/1993,Liverpool,Blackburn,0,1,A,,,,1993-94
76,76,E0,13/09/93,Newcastle,Sheffield Weds,4,2,H,,,,1993-94
77,77,E0,18/09/93,Blackburn,West Ham,0,2,A,,,,1993-94
78,78,E0,18/09/93,Coventry,Chelsea,1,1,D,,,,1993-94
79,79,E0,18/09/93,Everton,Liverpool,2,0,H,,,,1993-94
80,80,E0,18/09/93,Ipswich,Aston Villa,1,2,A,,,,1993-94
81,81,E0,18/09/93,Leeds,Sheffield United,2,1,H,,,,1993-94
82,82,E0,18/09/93,QPR,Norwich,2,2,D,,,,1993-94
83,83,E0,18/09/93,Sheffield Weds,Southampton,2,0,H,,,,1993-94
84,84,E0,18/09/93,Swindon,Newcastle,2,2,D,,,,1993-94
85,85,E0,18/09/93,Tottenham,Oldham,5,0,H,,,,1993-94
86,86,E0,19/09/93,Man United,Arsenal,1,0,H,,,,1993-94
87,87,E0,20/09/93,Wimbledon,Man City,1,0,H,,,,1993-94
88,88,E0,25/09/93,Arsenal,Southampton,1,0,H,,,,1993-94
89,89,E0,25/09/93,Blackburn,Sheffield Weds,1,1,D,,,,1993-94
90,90,E0,25/09/93,Chelsea,Liverpool,1,0,H,,,,1993-94
91,91,E0,25/09/93,Coventry,Leeds,0,2,A,,,,1993-94
92,92,E0,25/09/93,Everton,Norwich,1,5,A,,,,1993-94
93,93,E0,25/09/93,Man United,Swindon,4,2,H,,,,1993-94
94,94,E0,25/09/93,Newcastle,West Ham,2,0,H,,,,1993-94
95,95,E0,25/09/93,Oldham,Aston Villa,1,1,D,,,,1993-94
96,96,E0,25/09/93,Sheffield United,Man City,0,1,A,,,,1993-94
97,97,E0,26/09/93,Ipswich,Tottenham,2,2,D,,,,1993-94
98,98,E0,27/09/93,Wimbledon,QPR,1,1,D,,,,1993-94
99,99,E0,2/10/1993,Aston Villa,Newcastle,0,2,A,,,,1993-94
100,100,E0,2/10/1993,Leeds,Wimbledon,4,0,H,,,,1993-94
101,101,E0,2/10/1993,Liverpool,Arsenal,0,0,D,,,,1993-94
102,102,E0,2/10/1993,Norwich,Coventry,1,0,H,,,,1993-94
103,103,E0,2/10/1993,QPR,Ipswich,3,0,H,,,,1993-94
104,104,E0,2/10/1993,Sheffield Weds,Man United,2,3,A,,,,1993-94
105,105,E0,2/10/1993,Southampton,Sheffield United,3,3,D,,,,1993-94
106,106,E0,2/10/1993,Swindon,Blackburn,1,3,A,,,,1993-94
107,107,E0,2/10/1993,West Ham,Chelsea,1,0,H,,,,1993-94
108,108,E0,3/10/1993,Tottenham,Everton,3,2,H,,,,1993-94
109,109,E0,4/10/1993,Man City,Oldham,1,1,D,,,,1993-94
110,110,E0,16/10/93,Arsenal,Man City,0,0,D,,,,1993-94
111,111,E0,16/10/93,Chelsea,Norwich,1,2,A,,,,1993-94
112,112,E0,16/10/93,Coventry,Southampton,1,1,D,,,,1993-94
113,113,E0,16/10/93,Liverpool,Oldham,2,1,H,,,,1993-94
114,114,E0,16/10/93,Man United,Tottenham,2,1,H,,,,1993-94
115,115,E0,16/10/93,Newcastle,QPR,1,2,A,,,,1993-94
116,116,E0,16/10/93,Sheffield Weds,Wimbledon,2,2,D,,,,1993-94
117,117,E0,16/10/93,Swindon,Everton,1,1,D,,,,1993-94
118,118,E0,16/10/93,West Ham,Aston Villa,0,0,D,,,,1993-94
119,119,E0,17/10/93,Ipswich,Leeds,0,0,D,,,,1993-94
120,120,E0,18/10/93,Blackburn,Sheffield United,0,0,D,,,,1993-94
121,121,E0,23/10/93,Aston Villa,Chelsea,1,0,H,,,,1993-94
122,122,E0,23/10/93,Everton,Man United,0,1,A,,,,1993-94
123,123,E0,23/10/93,Leeds,Blackburn,3,3,D,,,,1993-94
124,124,E0,23/10/93,Man City,Liverpool,1,1,D,,,,1993-94
125,125,E0,23/10/93,Norwich,West Ham,0,0,D,,,,1993-94
126,126,E0,23/10/93,Oldham,Arsenal,0,0,D,,,,1993-94
127,127,E0,23/10/93,QPR,Coventry,5,1,H,,,,1993-94
128,128,E0,23/10/93,Sheffield United,Sheffield Weds,1,1,D,,,,1993-94
129,129,E0,23/10/93,Tottenham,Swindon,1,1,D,,,,1993-94
130,130,E0,24/10/93,Southampton,Newcastle,2,1,H,,,,1993-94
131,131,E0,25/10/93,Wimbledon,Ipswich,0,2,A,,,,1993-94
132,132,E0,30/10/93,Arsenal,Norwich,0,0,D,,,,1993-94
133,133,E0,30/10/93,Blackburn,Tottenham,1,0,H,,,,1993-94
134,134,E0,30/10/93,Chelsea,Oldham,0,1,A,,,,1993-94
135,135,E0,30/10/93,Ipswich,Everton,0,2,A,,,,1993-94
136,136,E0,30/10/93,Liverpool,Southampton,4,2,H,,,,1993-94
137,137,E0,30/10/93,Man United,QPR,2,1,H,,,,1993-94
138,138,E0,30/10/93,Newcastle,Wimbledon,4,0,H,,,,1993-94
139,139,E0,30/10/93,Sheffield Weds,Leeds,3,3,D,,,,1993-94
140,140,E0,30/10/93,Swindon,Aston Villa,1,2,A,,,,1993-94
141,141,E0,31/10/93,Coventry,Sheffield United,0,0,D,,,,1993-94
142,142,E0,1/11/1993,West Ham,Man City,3,1,H,,,,1993-94
143,143,E0,6/11/1993,Arsenal,Aston Villa,1,2,A,,,,1993-94
144,144,E0,6/11/1993,Coventry,Everton,2,1,H,,,,1993-94
145,145,E0,6/11/1993,Ipswich,Sheffield Weds,1,4,A,,,,1993-94
146,146,E0,6/11/1993,Leeds,Chelsea,4,1,H,,,,1993-94
147,147,E0,6/11/1993,Liverpool,West Ham,2,0,H,,,,1993-94
148,148,E0,6/11/1993,QPR,Blackburn,1,0,H,,,,1993-94
149,149,E0,6/11/1993,Sheffield United,Norwich,1,2,A,,,,1993-94
150,150,E0,6/11/1993,Southampton,Tottenham,1,0,H,,,,1993-94
151,151,E0,6/11/1993,Wimbledon,Swindon,3,0,H,,,,1993-94
152,152,E0,7/11/1993,Man City,Man United,2,3,A,,,,1993-94
153,153,E0,8/11/1993,Oldham,Newcastle,1,3,A,,,,1993-94
154,154,E0,20/11/93,Aston Villa,Sheffield United,1,0,H,,,,1993-94
155,155,E0,20/11/93,Blackburn,Southampton,2,0,H,,,,1993-94
156,156,E0,20/11/93,Chelsea,Arsenal,0,2,A,,,,1993-94
157,157,E0,20/11/93,Everton,QPR,0,3,A,,,,1993-94
158,158,E0,20/11/93,Man United,Wimbledon,3,1,H,,,,1993-94
159,159,E0,20/11/93,Norwich,Man City,1,1,D,,,,1993-94
160,160,E0,20/11/93,Sheffield Weds,Coventry,0,0,D,,,,1993-94
161,161,E0,20/11/93,Swindon,Ipswich,2,2,D,,,,1993-94
162,162,E0,20/11/93,Tottenham,Leeds,1,1,D,,,,1993-94
163,163,E0,20/11/93,West Ham,Oldham,2,0,H,,,,1993-94
164,164,E0,21/11/93,Newcastle,Liverpool,3,0,H,,,,1993-94
165,165,E0,22/11/93,Chelsea,Man City,0,0,D,,,,1993-94
166,166,E0,23/11/93,Blackburn,Coventry,2,1,H,,,,1993-94
167,167,E0,23/11/93,Everton,Leeds,1,1,D,,,,1993-94
168,168,E0,24/11/93,Aston Villa,Southampton,0,2,A,,,,1993-94
169,169,E0,24/11/93,Man United,Ipswich,0,0,D,,,,1993-94
170,170,E0,24/11/93,Newcastle,Sheffield United,4,0,H,,,,1993-94
171,171,E0,24/11/93,Sheffield Weds,Oldham,3,0,H,,,,1993-94
172,172,E0,24/11/93,Swindon,QPR,1,0,H,,,,1993-94
173,173,E0,24/11/93,Tottenham,Wimbledon,1,1,D,,,,1993-94
174,174,E0,24/11/93,West Ham,Arsenal,0,0,D,,,,1993-94
175,175,E0,27/11/93,Arsenal,Newcastle,2,1,H,,,,1993-94
176,176,E0,27/11/93,Coventry,Man United,0,1,A,,,,1993-94
177,177,E0,27/11/93,Ipswich,Blackburn,1,0,H,,,,1993-94
178,178,E0,27/11/93,Leeds,Swindon,3,0,H,,,,1993-94
179,179,E0,27/11/93,Man City,Sheffield Weds,1,3,A,,,,1993-94
180,180,E0,27/11/93,Oldham,Norwich,2,1,H,,,,1993-94
181,181,E0,27/11/93,QPR,Tottenham,1,1,D,,,,1993-94
182,182,E0,27/11/93,Sheffield United,Chelsea,1,0,H,,,,1993-94
183,183,E0,27/11/93,Wimbledon,Everton,1,1,D,,,,1993-94
184,184,E0,28/11/93,Liverpool,Aston Villa,2,1,H,,,,1993-94
185,185,E0,29/11/93,Southampton,West Ham,0,2,A,,,,1993-94
186,186,E0,4/12/1993,Coventry,Arsenal,1,0,H,,,,1993-94
187,187,E0,4/12/1993,Everton,Southampton,1,0,H,,,,1993-94
188,188,E0,4/12/1993,Ipswich,Oldham,0,0,D,,,,1993-94
189,189,E0,4/12/1993,Leeds,Man City,3,2,H,,,,1993-94
190,190,E0,4/12/1993,Man United,Norwich,2,2,D,,,,1993-94
191,191,E0,4/12/1993,QPR,Aston Villa,2,2,D,,,,1993-94
192,192,E0,4/12/1993,Sheffield Weds,Liverpool,3,1,H,,,,1993-94
